topic,status,comment,driver
Revenue trend,POSITIVE,Revenue trend is increasing across the 3 observed periods.,22500000.0
EBITDA / PBDIT trend,POSITIVE,"EBITDA/PBDIT is improving, consistent with stronger operating earnings.",3150000.0
EBITDA Margin trend,POSITIVE,EBITDA margin is expanding.,0.14
EBIT / Operating Profit trend,POSITIVE,Operating profit is increasing.,2700000.0
Working Capital trend,POSITIVE,Working capital is positive and improving.,2700000.0
Debt / EBITDA trend,POSITIVE,"Debt / EBITDA is trending down, which is supportive for credit.",1.9047619047619047
Debt / Cash Flow trend,POSITIVE,"Debt / Cash Flow is trending down, which is supportive for repayment capacity.",2.6666666666666665
Interest Coverage (EBIT / Interest) trend,POSITIVE,Interest coverage is improving.,4.5
Current Ratio trend,POSITIVE,Current ratio is improving.,1.6
Operating Cash Flow trend,POSITIVE,"Operating cash flow is improving, consistent with a stronger cash-flow servicing profile.",2250000.0
Liquidity (Cash in Hand) trend,POSITIVE,"Cash on hand is increasing, which supports day-to-day liquidity.",1800000.0
Net Worth / Total Equity trend,POSITIVE,"Net worth is increasing, which is supportive of credit quality.",3500000.0
Equity Infusion / Share Capital trend,POSITIVE,"Equity infusion is increasing, indicating greater support from shareholders / owners.",1400000.0
Free Cash Flow trend,POSITIVE,"Free cash flow is improving, supporting internal debt repayment.",1450000.0
Working capital quality,GREEN,Positive WC supported by cash; debt not needed for short-term support,2700000
Merton PD review,AMBER,Moderate PD,0.05435749792600049
Z-score review,AMBER,Z-score: 2.885 (GREY zone),2.885
IC decision,GREEN,APPROVE,A
Risk-based pricing,AMBER,Pricing is within a normal SME risk range.,0.12201763981534874
