topic,status,comment,driver
Revenue trend,POSITIVE,Revenue trend is increasing across the observed periods.,9645448000.0
EBITDA / PBDIT trend,POSITIVE,"EBITDA/PBDIT is improving, consistent with stronger operating earnings.",1746739000.0
EBITDA Margin trend,NEGATIVE,EBITDA margin is compressing.,0.18109464692567934
EBIT / Operating Profit trend,POSITIVE,Operating profit is increasing.,931374000.0
Working Capital trend,POSITIVE,Working capital is positive and improving.,382224000.0
Debt / EBITDA trend,NEGATIVE,"Debt / EBITDA is increasing, indicating rising leverage.",2.9602648134609693
Debt / Cash Flow trend,POSITIVE,"Debt / Cash Flow is trending down, which is supportive for repayment capacity.",3.9873919447250517
Interest Coverage (EBIT / Interest) trend,NEGATIVE,Interest coverage is declining.,5.159709488169565
Current Ratio trend,POSITIVE,Current ratio is improving.,1.1719095332288088
Operating Cash Flow trend,POSITIVE,"Operating cash flow is improving, consistent with stronger debt-servicing capacity.",1296790000.0
Liquidity (Cash in Hand) trend,POSITIVE,"Cash on hand is increasing, which supports day-to-day liquidity.",673773000.0
Net Worth / Total Equity trend,POSITIVE,"Net worth is increasing, which is supportive of credit quality.",8323498000.0
Equity Infusion / Share Capital trend,POSITIVE,"Equity infusion is increasing, indicating greater support from shareholders / owners.",4142012000.0
Free Cash Flow trend,POSITIVE,"Free cash flow is improving, supporting internal debt repayment.",320062000.0
Working capital quality,AMBER,WC positive only after including cash; underlying gap exists but cash covers it,382224000
Merton PD review,GREEN,Very low PD,0.007268370496162824
Z-score review,AMBER,Z-score: 1.832 (GREY zone),1.832
IC decision,GREEN,APPROVE,B
Risk-based pricing,GREEN,Pricing is within a normal SME risk range.,0.11242885426145817
