topic,status,comment,driver
Revenue trend,NEGATIVE,"Revenue is declining, which warrants further investigation.",9592400000.0
EBITDA / PBDIT trend,NEGATIVE,EBITDA/PBDIT is deteriorating — earnings quality may be weakening.,884300000.0
EBITDA Margin trend,NEGATIVE,EBITDA margin is compressing.,0.0921875651557483
EBIT / Operating Profit trend,NEGATIVE,Operating profit is declining.,647200000.0
Working Capital trend,POSITIVE,Working capital is positive and improving.,275500000.0
Debt / EBITDA trend,NEGATIVE,"Debt / EBITDA is increasing, indicating rising leverage.",0.7434128689358815
Debt / Cash Flow trend,POSITIVE,"Debt / Cash Flow is trending down, which is supportive for repayment capacity.",0.8735051820356099
Interest Coverage (EBIT / Interest) trend,NEGATIVE,Interest coverage is declining.,20.87741935483871
Current Ratio trend,POSITIVE,Current ratio is improving.,1.2101769911504425
Operating Cash Flow trend,POSITIVE,"Operating cash flow is improving, matching the lectures cash-flow test.",752600000.0
Liquidity (Cash in Hand) trend,POSITIVE,"Cash on hand is increasing, which supports day-to-day liquidity.",317700000.0
Net Worth / Total Equity trend,POSITIVE,"Net worth is increasing, which is supportive of credit quality.",1559100000.0
Equity Infusion / Share Capital trend,NEGATIVE,Equity Infusion / Share Capital trend is negative.,312300000.0
Free Cash Flow trend,POSITIVE,"Free cash flow is improving, supporting internal debt repayment.",379600000.0
Working capital quality,AMBER,WC positive only after including cash; underlying gap exists but cash covers it,275500000
Merton PD review,GREEN,Very low PD,0.002009812073300777
Z-score review,GREEN,Z-score: 4.445 (SAFE zone),4.445
IC decision,GREEN,APPROVE,B
Risk-based pricing,GREEN,Pricing is within a normal SME risk range.,0.10669803580764703
